iso,year,GHG_self
BIH,2030,22.27859836653466
BIH,2031,21.956759503586998
BIH,2032,21.634920640639336
BIH,2033,21.31308128785946
BIH,2034,20.9912424249118
BIH,2035,20.669403561964142
BIH,2036,20.347564209184277
BIH,2037,20.02572534623662
BIH,2038,19.703886483288954
BIH,2039,19.382047130509086
BIH,2040,19.060208267561425
BIH,2041,18.738369404613767
BIH,2042,18.416530541666102
BIH,2043,18.094691188886234
BIH,2044,17.772852325938572
BIH,2045,17.45101346299091
BIH,2046,17.12917411021104
BIH,2047,16.807335247263374
BIH,2048,16.485496384315717
BIH,2049,16.163657031535852
BIH,2050,15.841818168588189
BLR,2010,93.35536158508074
BLR,2011,107.53730941616656
BLR,2012,107.53551747698027
BLR,2013,107.68572668124422
BLR,2014,107.17953228903485
BLR,2015,103.17808503292807
BLR,2016,101.9450975556178
BLR,2017,103.64804363081498
BLR,2018,108.45505577573886
BLR,2019,106.88072937053921
BLR,2020,100.84398915628893
BLR,2021,102.63655473708171
BLR,2022,102.54336311639045
BLR,2023,102.4501714956992
BLR,2024,102.35698085528102
BLR,2025,102.26378923458978
BLR,2026,102.17059761389854
BLR,2027,102.07740697348036
BLR,2028,101.98421535278911
BLR,2029,101.89102373209786
BLR,2030,101.79783309167968
BLZ,2010,0.771593314042014
BLZ,2011,0.8085280357468071
BLZ,2012,0.6500355462973659
BLZ,2013,0.6868737650050751
BLZ,2014,0.6710213473050028
BLZ,2015,0.924485748974112
BLZ,2016,0.8769284958738952
BLZ,2017,0.8874141946615134
BLZ,2018,0.8525406041332425
BLZ,2019,0.941437148566348
BLZ,2020,0.7983793772773624
BLZ,2021,0.9190945442265769
BLZ,2022,0.9850579435914878
BLZ,2023,1.0510213429563986
BLZ,2024,1.1169847423213097
BLZ,2025,1.1829495820294604
BLZ,2026,1.2395579520501983
BLZ,2027,1.296167762414176
BLZ,2028,1.352777572778154
BLZ,2029,1.4093859427988915
BLZ,2030,1.4659957531628698
BOL,2010,44.29474953932116
BOL,2011,45.588610719058345
BOL,2012,48.13634178553339
BOL,2013,49.642559831197126
BOL,2014,51.05937521356484
BOL,2015,52.454194856356764
BOL,2016,54.39933293126008
BOL,2017,55.79941878125095
BOL,2018,56.45388296696865
BOL,2019,58.01042656021356
BOL,2020,60.70749086402482
BOL,2021,61.18305636785938
BOL,2022,64.45383869556541
BOL,2023,67.72462102327142
BOL,2024,70.99540291062232
BOL,2025,74.26618523832833
BOL,2026,77.53696756603436
BOL,2027,80.80774945338523
BOL,2028,84.07853178109126
BOL,2029,87.34931410879729
BOL,2030,90.62009599614817
BRA,2010,1079.7375226182858
BRA,2011,1092.6505043454613
BRA,2012,1123.1035055067957
BRA,2013,1159.140856210821
BRA,2014,1200.4276557357007
BRA,2015,1179.3302005472458
BRA,2016,1168.6323056672825
BRA,2017,1180.8079057673683
BRA,2018,1157.2478485486715
BRA,2019,1167.004685885438
BRA,2020,1145.818269270041
BRA,2021,1218.2750990574095
BRA,2022,1225.8388315689579
BRA,2023,1233.4025640805064
BRA,2024,1240.9662970541917
BRA,2025,1248.5300300278777
BRA,2026,1196.1274313481053
BRA,2027,1143.7248331304706
BRA,2028,1091.3222344506987
BRA,2029,1038.9196357709266
BRA,2030,986.5170375532917
BRA,2031,937.1911899272903
BRA,2032,887.8653427634259
BRA,2033,838.5394955995617
BRA,2034,789.2136479735601
BRA,2035,739.887801271833
BRA,2036,690.5619541079685
BRA,2037,641.2361064819671
BRA,2038,591.9102593181028
BRA,2039,542.5844121542384
BRA,2040,493.25856452823695
BRA,2041,443.9327178265099
BRA,2042,394.6068706626456
BRA,2043,345.281023036644
BRA,2044,295.95517587277965
BRA,2045,246.6293287089154
BRA,2046,197.30348108291378
BRA,2047,147.9776343811868
BRA,2048,98.65178721732246
BRA,2049,49.325939591320875
BRA,2050,9.242745656340514e-5
BRB,2010,0.3758320556390987
BRB,2011,0.3906496967836667
BRB,2012,0.37796819140680354
BRB,2013,0.37226044687972804
BRB,2014,0.3317722546036477
BRB,2015,0.33289741273806067
BRB,2016,0.3378093085012466
BRB,2017,0.3121714108588398
BRB,2018,0.3208019627931207
BRB,2019,0.3297349329892496
BRB,2020,0.2990630624871311
BRB,2021,0.3267254764540906
BRB,2022,0.3252095435578964
BRB,2023,0.3236938240831997
BRB,2024,0.3221781046085029
BRB,2025,0.3206623851338061
BRB,2026,0.31078609191906836
BRB,2027,0.30090979870433066
BRB,2028,0.2910335054895929
BRB,2029,0.2811572122748552
BRB,2030,0.2712809190601175
BRN,2010,7.013841025019237
BRN,2011,7.983972542357565
BRN,2012,7.834490787222174
BRN,2013,6.807944446927918
BRN,2014,7.289325576998173
BRN,2015,6.27704625008163
BRN,2016,6.534575923804515
BRN,2017,7.467030676064086
BRN,2018,7.774372664824493
BRN,2019,8.09240682291962
BRN,2020,6.618343780469913
BRN,2021,7.254015776902755
BRN,2022,7.181366282678041
BRN,2023,7.1087172863424675
BRN,2024,7.036067792117751
BRN,2025,6.963418795782178
BRN,2026,6.890769301557461
BRN,2027,6.818119807332747
BRN,2028,6.7454708109971735
BRN,2029,6.672821316772457
BRN,2030,6.600172320436884
BTN,2010,2.0668640060551198
BTN,2011,2.276930812429181
BTN,2012,2.336852247550234
BTN,2013,2.4275893513411093
BTN,2014,2.494858638161864
BTN,2015,2.5882955357206856
BTN,2016,2.8029138732883556
BTN,2017,2.9189518171074127
BTN,2018,3.115339405732753
BTN,2019,3.360168642406757
BTN,2020,3.2288558347594187
BTN,2021,3.432745914858838
BTN,2022,3.545016360990046
BTN,2023,3.657285822154537
BTN,2024,3.7695562682857444
BTN,2025,3.8818257294502363
BTN,2026,3.9940961755814426
BTN,2027,4.106366621712651
BTN,2028,4.2186360828771425
BTN,2029,4.33090652900835
BTN,2030,4.443175990172841
BWA,2010,10.605650822317658
BWA,2011,12.348178447956567
BWA,2012,7.291128942564241
BWA,2013,7.075961306041228
BWA,2014,6.337029613496758
BWA,2015,5.470057405722866
BWA,2016,5.488090102039439
BWA,2017,7.282835724537299
BWA,2018,6.247163524094552
BWA,2019,5.398677269771045
BWA,2020,6.607648172761736
BWA,2021,6.660538192697656
BWA,2022,6.589742203439719
BWA,2023,6.518946676689061
BWA,2024,6.448150687431124
BWA,2025,6.377355160680466
BWA,2026,6.513044158789343
BWA,2027,6.648733156898221
BWA,2028,6.784422155007098
BWA,2029,6.920111153115975
BWA,2030,7.055800151224853
CAF,2010,10.821111239823486
CAF,2011,11.534352517349642
CAF,2012,9.999377564339712
CAF,2013,10.643159310285697
CAF,2014,10.392448455472872
CAF,2015,10.56506235468299
CAF,2016,11.478517452244157
CAF,2017,10.551744195111937
CAF,2018,10.84763935564814
CAF,2019,9.967791885492826
CAF,2020,10.574392602932202
CAF,2021,10.460127208077253
CAF,2022,9.57635750224552
CAF,2023,8.692587796413783
CAF,2024,7.808818090582046
CAF,2025,6.925048923075273
CAF,2026,7.215142555491135
CAF,2027,7.5052361879069975
CAF,2028,7.7953303586478215
CAF,2029,8.085423991063683
CAF,2030,8.375517623479546
CAF,2031,8.617227415757698
CAF,2032,8.85893747719833
CAF,2033,9.100647538638965
CAF,2034,9.342357330917118
CAF,2035,9.58406739235775
CAF,2036,9.825777184635903
CAF,2037,10.067486976914056
CAF,2038,10.309196769192207
CAF,2039,10.550906830632844
CAF,2040,10.792616622910995
CAF,2041,11.034326415189147
CAF,2042,11.2760362074673
CAF,2043,11.517746538070414
CAF,2044,11.759456330348568
CAF,2045,12.00116612262672
CAF,2046,12.242875914904872
CAF,2047,12.484585976345507
CAF,2048,12.726295768623658
CAF,2049,12.96800556090181
CAF,2050,13.209715622342445
CAN,2010,673.8684001034418
CAN,2011,676.5954562730515
CAN,2012,680.810848501127
CAN,2013,686.9874751301646
CAN,2014,708.8056294680769
CAN,2015,718.9218054470701
CAN,2016,715.2577013064183
CAN,2017,736.3528610781644
CAN,2018,751.8022561552269
CAN,2019,746.0589425315513
CAN,2020,695.7245270105126
CAN,2021,707.8825210377518
CAN,2022,676.1812568255009
CAN,2023,644.4799930935263
CAN,2024,612.7787288812755
CAN,2025,581.0774646690245
CAN,2026,549.3762004567737
CAN,2027,517.6749367247992
CAN,2028,485.97367251254826
CAN,2029,454.2724087805737
CAN,2030,422.5711445683228
CAN,2031,407.94673746374013
CAN,2032,393.3223303591574
CAN,2033,378.6979232545746
CAN,2034,364.0735156697155
CAN,2035,349.4491085651328
CAN,2036,334.82470146055005
CAN,2037,320.20029435596734
CAN,2038,305.57588677110823
CAN,2039,290.9514801468018
CAN,2040,276.3270725619428
CAN,2041,261.70266545736007
CAN,2042,247.07825787250098
CAN,2043,232.45385124819464
CAN,2044,217.8294436633355
CAN,2045,203.2050365587528
CAN,2046,188.58062945417007
